,ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
96,1312200,1,16,1,R Parag,LH Ferguson,TA Boult,,1,0,1,0,0,,,,Rajasthan Royals
97,1312200,1,16,2,TA Boult,LH Ferguson,R Parag,,1,0,1,0,0,,,,Rajasthan Royals
98,1312200,1,16,3,R Parag,LH Ferguson,TA Boult,,1,0,1,0,0,,,,Rajasthan Royals
99,1312200,1,16,4,TA Boult,LH Ferguson,R Parag,,1,0,1,0,0,,,,Rajasthan Royals
100,1312200,1,16,5,R Parag,LH Ferguson,TA Boult,,1,0,1,0,0,,,,Rajasthan Royals
101,1312200,1,16,6,TA Boult,LH Ferguson,R Parag,,1,0,1,0,0,,,,Rajasthan Royals
102,1312200,1,17,1,TA Boult,R Sai Kishore,R Parag,,2,0,2,0,0,,,,Rajasthan Royals
103,1312200,1,17,2,TA Boult,R Sai Kishore,R Parag,,6,0,6,0,0,,,,Rajasthan Royals
104,1312200,1,17,3,TA Boult,R Sai Kishore,R Parag,,0,0,0,0,1,TA Boult,caught,R Tewatia,Rajasthan Royals
105,1312200,1,17,4,OC McCoy,R Sai Kishore,R Parag,,1,0,1,0,0,,,,Rajasthan Royals
106,1312200,1,17,5,R Parag,R Sai Kishore,OC McCoy,,1,0,1,0,0,,,,Rajasthan Royals
107,1312200,1,17,6,OC McCoy,R Sai Kishore,R Parag,,6,0,6,0,0,,,,Rajasthan Royals
108,1312200,1,18,1,R Parag,Yash Dayal,OC McCoy,,1,0,1,0,0,,,,Rajasthan Royals
109,1312200,1,18,2,OC McCoy,Yash Dayal,R Parag,,0,0,0,0,0,,,,Rajasthan Royals
110,1312200,1,18,3,OC McCoy,Yash Dayal,R Parag,,1,0,1,0,0,,,,Rajasthan Royals
111,1312200,1,18,4,R Parag,Yash Dayal,OC McCoy,,0,0,0,0,0,,,,Rajasthan Royals
112,1312200,1,18,5,R Parag,Yash Dayal,OC McCoy,,1,0,1,0,0,,,,Rajasthan Royals
113,1312200,1,18,6,OC McCoy,Yash Dayal,R Parag,,0,0,0,0,0,,,,Rajasthan Royals
114,1312200,1,19,1,R Parag,Mohammed Shami,OC McCoy,,0,0,0,0,0,,,,Rajasthan Royals
115,1312200,1,19,2,R Parag,Mohammed Shami,OC McCoy,,2,0,2,0,0,,,,Rajasthan Royals
116,1312200,1,19,3,R Parag,Mohammed Shami,OC McCoy,,4,0,4,0,0,,,,Rajasthan Royals
117,1312200,1,19,4,R Parag,Mohammed Shami,OC McCoy,,1,0,1,0,1,OC McCoy,run out,R Tewatia,Rajasthan Royals
118,1312200,1,19,5,R Parag,Mohammed Shami,M Prasidh Krishna,,0,0,0,0,0,,,,Rajasthan Royals
119,1312200,1,19,6,R Parag,Mohammed Shami,M Prasidh Krishna,,0,0,0,0,1,R Parag,bowled,,Rajasthan Royals
219,1312200,2,16,1,DA Miller,M Prasidh Krishna,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
220,1312200,2,16,2,DA Miller,M Prasidh Krishna,Shubman Gill,,2,0,2,0,0,,,,Gujarat Titans
221,1312200,2,16,3,DA Miller,M Prasidh Krishna,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
222,1312200,2,16,4,DA Miller,M Prasidh Krishna,Shubman Gill,,4,0,4,0,0,,,,Gujarat Titans
223,1312200,2,16,5,DA Miller,M Prasidh Krishna,Shubman Gill,wides,0,1,1,0,0,,,,Gujarat Titans
224,1312200,2,16,6,DA Miller,M Prasidh Krishna,Shubman Gill,,4,0,4,0,0,,,,Gujarat Titans
225,1312200,2,16,7,DA Miller,M Prasidh Krishna,Shubman Gill,,2,0,2,0,0,,,,Gujarat Titans
226,1312200,2,17,1,Shubman Gill,R Ashwin,DA Miller,,0,0,0,0,0,,,,Gujarat Titans
227,1312200,2,17,2,Shubman Gill,R Ashwin,DA Miller,,1,0,1,0,0,,,,Gujarat Titans
228,1312200,2,17,3,DA Miller,R Ashwin,Shubman Gill,,1,0,1,0,0,,,,Gujarat Titans
229,1312200,2,17,4,Shubman Gill,R Ashwin,DA Miller,,0,0,0,0,0,,,,Gujarat Titans
230,1312200,2,17,5,Shubman Gill,R Ashwin,DA Miller,,1,0,1,0,0,,,,Gujarat Titans
231,1312200,2,17,6,DA Miller,R Ashwin,Shubman Gill,,2,0,2,0,0,,,,Gujarat Titans
232,1312200,2,18,1,Shubman Gill,OC McCoy,DA Miller,,6,0,6,0,0,,,,Gujarat Titans
334,1312199,1,16,1,MK Lomror,YS Chahal,KD Karthik,,1,0,1,0,0,,,,Royal Challengers Bangalore
335,1312199,1,16,2,KD Karthik,YS Chahal,MK Lomror,,1,0,1,0,0,,,,Royal Challengers Bangalore
336,1312199,1,16,3,MK Lomror,YS Chahal,KD Karthik,,1,0,1,0,0,,,,Royal Challengers Bangalore
337,1312199,1,16,4,KD Karthik,YS Chahal,MK Lomror,,1,0,1,0,0,,,,Royal Challengers Bangalore
338,1312199,1,16,5,MK Lomror,YS Chahal,KD Karthik,,1,0,1,0,0,,,,Royal Challengers Bangalore
339,1312199,1,16,6,KD Karthik,YS Chahal,MK Lomror,,2,0,2,0,0,,,,Royal Challengers Bangalore
340,1312199,1,17,1,MK Lomror,OC McCoy,KD Karthik,,1,0,1,0,0,,,,Royal Challengers Bangalore
341,1312199,1,17,2,KD Karthik,OC McCoy,MK Lomror,,1,0,1,0,0,,,,Royal Challengers Bangalore
342,1312199,1,17,3,MK Lomror,OC McCoy,KD Karthik,,0,0,0,0,0,,,,Royal Challengers Bangalore
343,1312199,1,17,4,MK Lomror,OC McCoy,KD Karthik,,0,0,0,0,1,MK Lomror,caught,R Ashwin,Royal Challengers Bangalore
